id,user_id,from_account_id,datetime,amount,currency,category,receiver,description
2735,22,197,2025-10-18 09:58:09.932395,1619.08,EUR,restaurants,Sakura Sushi,ramen
1087,56,137,2025-10-18 09:55:04.498963,3420.61,KZT,restaurants,BurgerTime,burger
2927,97,13,2025-10-18 09:59:55.781393,1109.07,EUR,transfer,,
2185,82,83,2025-10-18 09:57:31.446299,213451.31,RUB,restaurants,CoffeeGo,croissant
753,7,28,2025-10-18 09:58:34.061682,3974.97,EUR,transport,AirAstana,plane ticket
974,37,117,2025-10-18 09:56:34.197159,22098.42,CNY,recurring,Kaspi Insurance,car insurance
2072,13,148,2025-10-18 09:57:44.885370,59177.95,KZT,online_shopping,Kaspi.kz,TV
1456,89,98,2025-10-18 09:54:40.109854,261020.73,RUB,transfer,,
1270,9,22,2025-10-18 09:57:23.323273,19727.83,CNY,recurring,YouTube Premium,monthly subscription
1179,98,101,2025-10-18 09:55:03.330261,2480.41,CNY,restaurants,Sakura Sushi,sushi set
2597,77,31,2025-10-18 09:55:15.217442,3667.11,EUR,online_shopping,Kaspi.kz,laptop
960,17,21,2025-10-18 09:59:05.829942,2764.82,EUR,restaurants,BurgerTime,burger
965,96,72,2025-10-18 10:00:26.428375,10467.7,CNY,transport,AirAstana,plane ticket
1202,59,99,2025-10-18 09:59:29.474202,3181.68,EUR,restaurants,CoffeeGo,croissant
149,39,152,2025-10-18 09:58:41.971558,152243.76,RUB,transfer,,
2938,73,145,2025-10-18 09:56:03.793785,12187.43,CNY,clothes,LC Waikiki,hat
212,69,167,2025-10-18 09:54:36.508361,92595.84,RUB,utilities,Beeline,mobile plan
2139,49,72,2025-10-18 09:57:51.566154,4084.54,USD,recurring,Beeline,mobile plan
2635,74,87,2025-10-18 09:58:29.176606,126339.31,KZT,online_shopping,Kaspi.kz,laptop
1345,15,23,2025-10-18 09:56:52.862389,222200.31,RUB,online_shopping,AliExpress,phone case
1778,85,161,2025-10-18 09:55:06.421647,474616.68,KZT,groceries,Magnum,bread
2599,10,32,2025-10-18 09:58:05.196568,19196.69,CNY,entertainment,Netflix,monthly subscription
2907,55,14,2025-10-18 09:58:27.564256,6347.47,CNY,transfer,,
2308,88,33,2025-10-18 09:59:40.901613,25888.36,CNY,groceries,GreenMart,yogurt
921,37,117,2025-10-18 09:59:43.328621,3095.06,USD,transport,AirAstana,plane ticket
1980,21,157,2025-10-18 09:58:51.379144,1631.78,USD,transfer,,
2463,98,74,2025-10-18 09:56:47.857576,299365.74,RUB,transfer,,
1438,58,26,2025-10-18 09:57:48.768527,470938.09,KZT,utilities,KazWater,water bill
389,79,124,2025-10-18 09:55:48.933682,215946.01,KZT,transport,AirAstana,plane ticket
2971,17,153,2025-10-18 09:59:29.011399,83780.66,RUB,recurring,Spotify,music subscription
2636,70,39,2025-10-18 09:56:59.292056,2940.12,USD,entertainment,Spotify,premium subscription
1695,90,196,2025-10-18 09:55:27.979747,173249.86,KZT,restaurants,CoffeeGo,croissant
1727,5,92,2025-10-18 09:57:18.835252,2552.78,EUR,transfer,,
1437,96,155,2025-10-18 10:00:28.963839,20998.95,KZT,online_shopping,Wildberries,headphones
733,51,157,2025-10-18 09:56:41.608812,17834.48,CNY,transfer,,
2532,1,110,2025-10-18 09:58:24.214281,280402.98,RUB,recurring,Kaspi Red,loan payment
1476,35,128,2025-10-18 09:55:05.869918,279871.26,RUB,restaurants,BurgerTime,burger
216,26,85,2025-10-18 09:59:28.529329,1902.3,USD,online_shopping,Kaspi.kz,TV
2646,77,73,2025-10-18 09:55:40.964870,653.44,EUR,recurring,YouTube Premium,monthly subscription
1261,54,64,2025-10-18 09:57:54.905755,4500.32,USD,clothes,H&M,hoodie
2343,25,197,2025-10-18 10:00:16.518023,26721.98,CNY,transport,AirAstana,plane ticket
2552,93,163,2025-10-18 09:58:25.580194,2450.7,CNY,utilities,KazWater,water bill
1380,28,35,2025-10-18 09:58:22.269170,16584.52,CNY,utilities,KazWater,water bill
942,75,78,2025-10-18 09:57:13.447451,2239.33,EUR,recurring,Kaspi Insurance,car insurance
511,10,182,2025-10-18 10:00:28.334215,157665.98,RUB,transport,AirAstana,plane ticket
1687,17,133,2025-10-18 09:57:12.213863,30363.81,RUB,recurring,Kaspi Insurance,car insurance
879,65,57,2025-10-18 09:59:26.716337,3082.47,EUR,online_shopping,Kaspi.kz,smartphone
165,86,136,2025-10-18 09:59:08.660823,3191.53,USD,groceries,Magnum,chicken
317,17,100,2025-10-18 09:56:44.604550,12654.86,CNY,transfer,,
119,47,131,2025-10-18 09:56:27.672553,611.21,USD,online_shopping,Wildberries,clothes
1071,71,155,2025-10-18 10:00:15.347920,374.74,EUR,entertainment,Netflix,monthly subscription
1441,45,94,2025-10-18 09:56:22.248805,2521.31,EUR,restaurants,CoffeeGo,latte
2727,89,57,2025-10-18 09:57:39.979602,1798.77,EUR,recurring,Beeline,mobile plan
1023,16,198,2025-10-18 09:54:50.944749,98852.84,RUB,clothes,LC Waikiki,boots
2781,34,20,2025-10-18 09:56:02.113265,133.1,USD,recurring,Netflix,monthly subscription
1144,48,147,2025-10-18 10:00:20.892565,12180.61,RUB,transport,Yandex Go,taxi ride
399,97,151,2025-10-18 10:00:04.097326,2770.24,USD,clothes,LC Waikiki,hat
491,85,154,2025-10-18 09:57:28.108421,26486.74,CNY,transfer,,
487,14,194,2025-10-18 09:59:51.069498,190.77,EUR,restaurants,CoffeeGo,cappuccino
1750,37,88,2025-10-18 09:56:10.630473,35477.41,RUB,clothes,H&M,shorts
2899,69,98,2025-10-18 09:55:49.390393,4099.14,USD,recurring,KazakhTelecom,home internet
2633,49,147,2025-10-18 09:57:21.933172,1382.15,EUR,restaurants,BurgerTime,burger
6,15,120,2025-10-18 09:56:59.885631,70808.13,KZT,online_shopping,AliExpress,keyboard
2644,26,150,2025-10-18 09:55:21.317616,2570.08,EUR,transport,Yandex Go,taxi ride
2842,14,99,2025-10-18 09:57:46.879260,803.24,USD,utilities,Beeline,mobile plan
43,93,84,2025-10-18 09:55:22.119505,17906.9,CNY,groceries,Magnum,bread
1841,23,192,2025-10-18 09:57:15.335570,98320.12,KZT,utilities,Beeline,mobile plan
1580,48,96,2025-10-18 09:58:24.974682,3898.68,USD,restaurants,BurgerTime,fries
1056,56,37,2025-10-18 09:55:37.573383,35140.93,RUB,groceries,Magnum,chicken
2471,50,194,2025-10-18 10:00:08.288116,418.76,EUR,transfer,,
35,86,193,2025-10-18 09:55:14.332599,3473.03,EUR,groceries,SmallMart,pasta
2846,62,39,2025-10-18 09:58:50.212133,13382.97,CNY,restaurants,CoffeeGo,latte
1748,78,59,2025-10-18 09:54:53.813518,3146.29,EUR,online_shopping,AliExpress,phone case
2246,81,112,2025-10-18 09:58:27.447963,118721.76,RUB,utilities,Beeline,mobile plan
926,59,82,2025-10-18 09:57:52.100740,26.45,USD,transfer,,
1157,57,22,2025-10-18 09:56:51.882712,18225.3,CNY,clothes,LC Waikiki,scarf
190,37,105,2025-10-18 09:55:18.404530,3846.02,USD,clothes,H&M,hoodie
334,32,107,2025-10-18 09:55:18.523527,81450.26,RUB,restaurants,Sakura Sushi,ramen
1401,87,131,2025-10-18 09:58:59.837178,2400.88,USD,transfer,,
2585,5,75,2025-10-18 09:55:17.468965,496566.45,KZT,entertainment,Netflix,monthly subscription
1937,88,155,2025-10-18 09:56:20.259106,3958.9,EUR,transport,Kaspi Red Transport,bus ticket
480,53,10,2025-10-18 09:59:10.102964,16495.51,CNY,restaurants,Sakura Sushi,miso soup
2033,47,158,2025-10-18 09:59:52.324702,239156.03,KZT,online_shopping,Wildberries,clothes
301,1,110,2025-10-18 09:58:33.216564,4978.49,USD,transport,AirAstana,plane ticket
512,65,41,2025-10-18 09:56:07.839930,2174.61,EUR,clothes,Zara,trousers
1732,57,149,2025-10-18 09:57:48.031324,12682.48,RUB,online_shopping,Wildberries,headphones
991,73,173,2025-10-18 09:58:50.008621,2642.01,EUR,transfer,,
1639,85,1,2025-10-18 10:00:12.681744,126091.01,KZT,utilities,KazWater,water bill
599,69,3,2025-10-18 09:57:04.742583,74552.46,RUB,restaurants,CoffeeGo,croissant
2641,49,136,2025-10-18 09:59:19.989721,306227.78,KZT,entertainment,Netflix,monthly subscription
2100,9,44,2025-10-18 09:58:46.150052,280199.39,KZT,transfer,,
409,50,168,2025-10-18 09:57:10.496531,2290.23,EUR,recurring,Netflix,monthly subscription
1319,13,18,2025-10-18 09:58:17.000974,2102.22,EUR,entertainment,Spotify,premium subscription
2624,14,48,2025-10-18 09:58:31.054537,1475.69,USD,transport,Kaspi Red Transport,bus ticket
2933,51,95,2025-10-18 09:56:25.665600,260264.37,RUB,restaurants,Sakura Sushi,sushi set
1725,85,65,2025-10-18 09:59:39.654258,419.56,CNY,entertainment,Spotify,premium subscription
240,95,100,2025-10-18 09:59:02.677506,108274.0,RUB,restaurants,BurgerTime,fries
1282,23,4,2025-10-18 09:59:18.467526,2617.7,EUR,groceries,SmallMart,cookies
2157,5,145,2025-10-18 09:58:57.469935,2264.02,CNY,recurring,KEGOC,electricity bill
1338,22,115,2025-10-18 09:59:05.823457,241343.19,KZT,transfer,,
2979,76,141,2025-10-18 09:54:49.128321,4948.68,USD,entertainment,Steam,game purchase
2368,27,56,2025-10-18 10:00:27.370068,106044.32,RUB,entertainment,Netflix,monthly subscription
2371,45,93,2025-10-18 09:56:38.330319,86.87,EUR,clothes,LC Waikiki,hat
2017,95,155,2025-10-18 09:55:05.514282,224929.81,RUB,utilities,KazWater,water bill
2503,53,28,2025-10-18 09:55:58.487718,61979.4,RUB,transport,Yandex Go,taxi ride
799,44,140,2025-10-18 10:00:21.857793,869.56,USD,restaurants,Sakura Sushi,miso soup
533,25,30,2025-10-18 09:56:42.924816,3356.53,USD,groceries,GreenMart,yogurt
2809,96,168,2025-10-18 10:00:14.648335,175710.82,RUB,transfer,,
516,49,30,2025-10-18 09:58:18.504514,1030.08,EUR,entertainment,Netflix,monthly subscription
231,30,55,2025-10-18 09:59:55.132183,14291.23,CNY,groceries,Magnum,apples
2683,23,61,2025-10-18 09:59:00.838774,12079.52,CNY,clothes,H&M,t-shirt
449,76,79,2025-10-18 09:59:12.867206,331.11,USD,groceries,SmallMart,cheese
1386,4,155,2025-10-18 09:55:26.648856,392.24,USD,restaurants,Sakura Sushi,sushi set
2044,98,133,2025-10-18 09:55:42.998172,19029.02,RUB,utilities,KazWater,water bill
2913,62,149,2025-10-18 09:57:09.639360,4188.36,USD,restaurants,CoffeeGo,cappuccino
2338,12,178,2025-10-18 09:59:03.884900,3901.03,EUR,transfer,,
986,99,127,2025-10-18 09:59:25.409757,811.72,EUR,recurring,Magnum,monthly grocery delivery
1670,20,91,2025-10-18 09:56:08.888385,10211.77,CNY,transport,Kaspi Red Transport,bus ticket
1114,83,94,2025-10-18 09:59:15.191185,245766.32,RUB,restaurants,BurgerTime,fries
673,29,156,2025-10-18 09:57:34.300942,7036.51,KZT,online_shopping,AliExpress,LED strip
794,4,17,2025-10-18 09:59:15.345928,455.98,EUR,recurring,Magnum,monthly grocery delivery
1802,96,139,2025-10-18 09:56:22.403209,27573.29,CNY,restaurants,Sakura Sushi,miso soup
1031,12,194,2025-10-18 10:00:07.971107,1490.63,USD,transport,Kaspi Red Transport,bus ticket
1611,66,86,2025-10-18 09:55:23.494687,220949.63,KZT,utilities,KEGOC,electricity bill
2467,79,72,2025-10-18 09:59:15.887440,178451.4,KZT,restaurants,CoffeeGo,latte
1228,60,46,2025-10-18 09:58:26.841887,213774.81,RUB,transfer,,
78,37,193,2025-10-18 09:57:25.496788,939.84,EUR,online_shopping,Kaspi.kz,laptop
1104,80,54,2025-10-18 09:59:29.010577,207240.19,RUB,restaurants,Sakura Sushi,ramen
1372,92,167,2025-10-18 09:57:20.418511,376877.35,KZT,online_shopping,AliExpress,phone case
1336,92,37,2025-10-18 09:58:18.744932,26293.21,CNY,transfer,,
1355,39,169,2025-10-18 09:57:09.480278,4955.36,USD,transfer,,
1098,68,5,2025-10-18 10:00:05.512970,2307.73,EUR,transfer,,
2030,29,24,2025-10-18 09:56:44.164838,3952.83,EUR,restaurants,CoffeeGo,cappuccino
2080,64,23,2025-10-18 09:56:05.682317,105606.23,RUB,transfer,,
844,15,179,2025-10-18 09:55:32.023319,1270.41,USD,recurring,Spotify,music subscription
355,13,119,2025-10-18 09:57:08.911536,402046.43,KZT,transport,Yandex Go,taxi ride
561,8,43,2025-10-18 09:56:34.073106,276741.82,RUB,transfer,,
210,28,49,2025-10-18 09:56:59.369826,373566.17,KZT,recurring,Kaspi Insurance,car insurance
1769,97,44,2025-10-18 09:55:52.879187,299396.57,KZT,groceries,GreenMart,fruits
250,43,113,2025-10-18 09:58:17.707395,129241.8,RUB,transport,Kaspi Red Transport,bus ticket
1342,69,163,2025-10-18 09:54:44.946810,366.31,EUR,utilities,KEGOC,electricity bill
2584,36,85,2025-10-18 10:00:13.228516,2331.09,USD,groceries,GreenMart,olive oil
714,12,48,2025-10-18 09:54:45.309207,2505.75,USD,recurring,Kaspi Red,loan payment
2508,68,75,2025-10-18 09:57:50.003925,2069.95,USD,entertainment,Netflix,monthly subscription
1004,37,68,2025-10-18 09:58:55.594788,149011.47,KZT,clothes,Zara,shirt
1460,73,126,2025-10-18 09:57:42.539103,3239.58,USD,groceries,SmallMart,cookies
630,14,68,2025-10-18 09:57:56.637643,4700.47,CNY,clothes,H&M,t-shirt
2451,97,117,2025-10-18 09:58:27.807810,142600.59,KZT,groceries,SmallMart,pasta
783,99,113,2025-10-18 09:55:57.746889,136690.78,KZT,transport,Kaspi Red Transport,bus ticket
553,75,140,2025-10-18 09:59:36.017465,5256.8,CNY,clothes,H&M,shorts
344,12,12,2025-10-18 09:55:16.177655,4486.95,USD,transfer,,
2014,4,114,2025-10-18 09:57:26.509518,1905.18,USD,recurring,Magnum,monthly grocery delivery
1266,99,200,2025-10-18 09:57:26.524619,123087.81,RUB,transport,Kaspi Red Transport,bus ticket
2325,41,63,2025-10-18 09:56:22.898045,3205.9,EUR,online_shopping,AliExpress,LED strip
1397,36,110,2025-10-18 09:58:02.193137,28253.23,CNY,online_shopping,Kaspi.kz,TV
2166,32,56,2025-10-18 09:55:04.358260,2844.09,USD,utilities,KazWater,water bill
2758,3,72,2025-10-18 09:54:31.639011,70962.57,RUB,clothes,LC Waikiki,scarf
2574,32,40,2025-10-18 09:59:10.311345,71179.73,KZT,clothes,LC Waikiki,boots
1594,29,44,2025-10-18 09:56:46.905173,95984.27,KZT,utilities,Beeline,mobile plan
215,3,67,2025-10-18 09:58:11.525095,28046.01,CNY,clothes,H&M,t-shirt
2296,89,79,2025-10-18 09:58:33.696453,3780.22,USD,entertainment,Netflix,monthly subscription
1276,77,2,2025-10-18 09:55:39.397361,386318.64,KZT,online_shopping,Wildberries,sneakers
2403,59,89,2025-10-18 09:58:27.493868,9830.01,CNY,utilities,KEGOC,electricity bill
2898,63,44,2025-10-18 09:56:40.694707,96218.26,KZT,transfer,,
797,60,103,2025-10-18 09:58:32.584008,12432.59,CNY,online_shopping,AliExpress,phone case
1593,7,3,2025-10-18 09:54:54.498190,530.15,USD,utilities,Beeline,mobile plan
2828,74,113,2025-10-18 09:56:57.555619,11245.29,CNY,groceries,GreenMart,fruits
2590,12,162,2025-10-18 09:59:30.973800,2465.44,USD,transport,Kaspi Red Transport,bus ticket
843,16,182,2025-10-18 09:59:57.762701,43649.99,KZT,transport,Kaspi Red Transport,bus ticket
2083,34,182,2025-10-18 09:58:29.288645,1405.62,EUR,recurring,KazakhTelecom,home internet
2967,88,4,2025-10-18 09:57:22.345994,478512.06,KZT,entertainment,Spotify,premium subscription
1487,49,188,2025-10-18 09:55:54.300580,348213.21,KZT,clothes,H&M,t-shirt
1362,87,44,2025-10-18 09:55:06.637769,48475.84,KZT,recurring,YouTube Premium,monthly subscription
934,8,171,2025-10-18 09:55:10.846408,119327.64,RUB,clothes,H&M,hoodie
2235,29,163,2025-10-18 09:58:20.386512,163943.58,KZT,recurring,Kaspi Red,loan payment
1174,51,179,2025-10-18 09:57:28.949022,415333.8,KZT,transfer,,
834,19,136,2025-10-18 10:00:16.009054,52.39,EUR,recurring,GymPro,gym membership
1950,92,75,2025-10-18 09:56:25.491972,283443.09,RUB,transport,AirAstana,plane ticket
2957,28,35,2025-10-18 09:54:56.751761,254300.73,RUB,recurring,YouTube Premium,monthly subscription
1287,9,86,2025-10-18 10:00:19.721136,304462.39,KZT,recurring,GymPro,gym membership
275,79,101,2025-10-18 09:59:20.533730,3471.25,CNY,utilities,KazWater,water bill
1782,79,54,2025-10-18 09:54:50.562227,198.87,USD,entertainment,Spotify,premium subscription
1472,15,58,2025-10-18 09:54:43.979788,478255.01,KZT,entertainment,Steam,game purchase
1680,26,51,2025-10-18 09:54:52.801430,147381.8,RUB,entertainment,Netflix,monthly subscription
1608,31,5,2025-10-18 09:57:07.435791,752.18,EUR,groceries,SmallMart,pasta
1248,18,40,2025-10-18 09:56:55.895903,170500.45,RUB,clothes,H&M,t-shirt
2459,72,186,2025-10-18 09:55:34.832991,53253.29,RUB,online_shopping,Wildberries,headphones
2015,26,53,2025-10-18 09:56:45.336527,2362.92,EUR,restaurants,BurgerTime,burger
2541,58,41,2025-10-18 09:57:32.001586,16008.79,CNY,online_shopping,Kaspi.kz,laptop
140,64,153,2025-10-18 10:00:19.836777,1146.56,EUR,groceries,Magnum,chicken
1870,24,92,2025-10-18 09:58:34.956650,48907.42,RUB,transfer,,
2697,88,175,2025-10-18 09:55:15.823951,56061.88,RUB,utilities,Beeline,mobile plan
1894,34,190,2025-10-18 09:57:45.026410,302016.21,KZT,recurring,Kaspi Red,loan payment
1696,95,157,2025-10-18 10:00:12.085833,443815.56,KZT,recurring,YouTube Premium,monthly subscription
2863,15,32,2025-10-18 09:54:30.739478,4086.29,CNY,transport,Yandex Go,taxi ride
1641,11,75,2025-10-18 09:55:09.587718,165.52,USD,utilities,KEGOC,electricity bill
1772,92,181,2025-10-18 09:59:44.791501,222480.33,KZT,clothes,H&M,hoodie
2433,86,42,2025-10-18 09:58:49.482902,3242.03,EUR,utilities,Beeline,mobile plan
53,52,6,2025-10-18 09:54:34.349718,51644.77,RUB,recurring,KazakhTelecom,home internet
2989,88,180,2025-10-18 09:54:59.869461,845.11,USD,groceries,SmallMart,pasta
2719,23,129,2025-10-18 09:57:42.332943,1526.19,USD,restaurants,BurgerTime,cola
1953,4,55,2025-10-18 09:59:59.200693,9123.55,CNY,groceries,SmallMart,cheese
1052,61,91,2025-10-18 10:00:01.001398,28182.69,CNY,groceries,Magnum,apples
2669,67,200,2025-10-18 09:56:48.519674,4301.2,USD,groceries,SmallMart,juice
2088,95,76,2025-10-18 09:58:01.301519,17124.7,CNY,restaurants,CoffeeGo,latte
2114,13,44,2025-10-18 10:00:24.780777,481818.08,KZT,transfer,,
1878,59,1,2025-10-18 09:55:57.482521,1006.03,USD,transport,Kaspi Red Transport,bus ticket
1222,68,160,2025-10-18 10:00:26.330916,3514.16,EUR,restaurants,BurgerTime,burger
318,88,45,2025-10-18 09:59:13.998305,3818.04,EUR,restaurants,BurgerTime,cola
540,18,174,2025-10-18 09:55:09.841501,263377.96,RUB,recurring,Magnum,monthly grocery delivery
1825,43,25,2025-10-18 09:58:39.876074,312673.9,KZT,transport,Yandex Go,taxi ride
1498,7,96,2025-10-18 09:56:35.293572,782.95,EUR,restaurants,BurgerTime,burger
80,65,136,2025-10-18 09:54:55.456658,3865.24,EUR,online_shopping,AliExpress,phone case
2266,28,131,2025-10-18 09:58:05.011988,155295.83,KZT,online_shopping,Wildberries,sneakers
2627,23,192,2025-10-18 10:00:13.997523,1550.96,USD,online_shopping,AliExpress,keyboard
1700,95,5,2025-10-18 09:55:29.106663,14491.09,CNY,clothes,H&M,shorts
312,41,36,2025-10-18 09:58:40.452787,1388.45,USD,restaurants,BurgerTime,cola
1965,39,16,2025-10-18 10:00:10.529671,1141.79,USD,recurring,Magnum,monthly grocery delivery
597,62,30,2025-10-18 09:55:34.506729,20359.52,RUB,online_shopping,AliExpress,keyboard
1055,44,120,2025-10-18 09:58:49.850497,452.79,USD,transfer,,
1787,41,170,2025-10-18 09:59:52.023490,174115.5,KZT,clothes,LC Waikiki,scarf
2586,28,54,2025-10-18 09:57:28.578311,58379.24,RUB,transfer,,
1771,94,114,2025-10-18 09:59:31.246643,3829.05,CNY,recurring,Beeline,mobile plan
2384,51,35,2025-10-18 09:54:42.450834,246.48,USD,transport,Yandex Go,taxi ride
1196,33,64,2025-10-18 09:58:59.811609,237051.47,KZT,utilities,KEGOC,electricity bill
2526,13,10,2025-10-18 09:59:17.454064,3608.18,RUB,clothes,Zara,trousers
1375,97,9,2025-10-18 09:56:23.807411,489974.25,KZT,transfer,,
2821,70,44,2025-10-18 09:58:03.795759,44966.9,KZT,groceries,Magnum,milk
1250,73,116,2025-10-18 09:56:36.409143,28063.13,RUB,restaurants,Sakura Sushi,miso soup
1207,75,112,2025-10-18 09:55:19.382214,28794.25,CNY,utilities,KazWater,water bill
2220,64,101,2025-10-18 09:58:32.970289,1521.09,USD,transfer,,
130,99,147,2025-10-18 09:55:45.585970,2474.34,EUR,groceries,SmallMart,pasta
1982,61,78,2025-10-18 10:00:10.531337,43581.46,RUB,utilities,Beeline,mobile plan
494,90,141,2025-10-18 09:59:17.413311,213591.12,RUB,transfer,,
1392,41,193,2025-10-18 09:58:19.572396,726.79,EUR,transfer,,
1435,95,93,2025-10-18 09:58:38.635854,15889.42,CNY,utilities,KEGOC,electricity bill
1213,14,117,2025-10-18 09:57:06.351771,248217.37,KZT,groceries,GreenMart,fruits
2264,95,192,2025-10-18 09:59:18.954736,249895.62,RUB,online_shopping,AliExpress,LED strip
1116,65,44,2025-10-18 09:58:48.312871,133374.81,KZT,clothes,H&M,shorts
858,50,28,2025-10-18 10:00:22.877800,146002.41,RUB,recurring,Kaspi Insurance,car insurance
1113,94,75,2025-10-18 09:55:29.564112,3049.05,EUR,recurring,Spotify,music subscription
1718,34,193,2025-10-18 09:56:00.841789,6535.5,CNY,groceries,SmallMart,pasta
1545,3,158,2025-10-18 09:57:03.671516,419.18,EUR,transfer,,
1955,76,129,2025-10-18 09:59:33.733119,157048.89,RUB,clothes,H&M,shorts
232,70,145,2025-10-18 09:56:34.775095,90087.57,KZT,utilities,KEGOC,electricity bill
1168,84,33,2025-10-18 09:55:02.660182,170516.87,RUB,recurring,Spotify,music subscription
1857,76,161,2025-10-18 09:59:53.898590,383477.92,KZT,groceries,Magnum,apples
2865,10,122,2025-10-18 09:55:48.749254,211529.84,KZT,groceries,Magnum,rice
2148,85,129,2025-10-18 09:54:42.487641,3843.9,USD,utilities,KEGOC,electricity bill
392,13,13,2025-10-18 09:54:38.601269,2289.22,EUR,recurring,YouTube Premium,monthly subscription
2097,91,122,2025-10-18 09:57:20.454421,9438.87,CNY,online_shopping,AliExpress,LED strip
173,35,50,2025-10-18 09:58:27.297930,165676.71,KZT,recurring,Beeline,mobile plan
2337,88,155,2025-10-18 09:57:25.247753,19847.21,CNY,transport,Kaspi Red Transport,bus ticket
238,56,48,2025-10-18 09:55:40.017849,19837.12,CNY,restaurants,Sakura Sushi,ramen
349,100,198,2025-10-18 09:59:20.255739,3313.74,CNY,restaurants,BurgerTime,fries
2728,20,192,2025-10-18 10:00:27.787190,65303.41,KZT,transfer,,
2734,92,142,2025-10-18 09:59:54.618725,1383.3,EUR,transfer,,
915,67,161,2025-10-18 09:57:18.498108,146938.14,KZT,transfer,,
814,11,36,2025-10-18 09:55:18.418264,3441.31,EUR,clothes,LC Waikiki,scarf
1550,35,169,2025-10-18 09:57:57.056110,92288.27,RUB,clothes,LC Waikiki,scarf
2883,8,2,2025-10-18 09:59:48.080899,499.67,CNY,recurring,KEGOC,electricity bill
592,29,156,2025-10-18 09:58:33.839237,2276.52,USD,clothes,LC Waikiki,scarf
1597,22,36,2025-10-18 09:56:21.806532,13847.78,CNY,transport,Kaspi Red Transport,bus ticket
1864,90,112,2025-10-18 09:57:14.958172,193837.79,RUB,entertainment,Netflix,monthly subscription
242,58,143,2025-10-18 09:55:32.772606,15397.6,CNY,restaurants,BurgerTime,burger
1475,20,171,2025-10-18 10:00:25.319262,187465.01,RUB,entertainment,Steam,game purchase
1410,1,158,2025-10-18 09:59:39.549157,1317.56,EUR,utilities,KEGOC,electricity bill
13,76,191,2025-10-18 10:00:11.547749,4427.64,USD,restaurants,CoffeeGo,croissant
91,69,5,2025-10-18 09:58:06.953645,17272.67,CNY,transport,Kaspi Red Transport,bus ticket
1537,70,199,2025-10-18 09:58:52.780650,3006.71,USD,online_shopping,Kaspi.kz,smartphone
1173,37,12,2025-10-18 09:55:30.698087,3697.22,USD,restaurants,CoffeeGo,latte
2977,68,196,2025-10-18 09:54:43.108711,1690.29,USD,transport,Kaspi Red Transport,bus ticket
1140,89,126,2025-10-18 09:57:47.591682,3296.13,EUR,transport,AirAstana,plane ticket
1419,88,183,2025-10-18 09:59:21.945771,1627.81,USD,clothes,LC Waikiki,boots
